Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Orenburg Oblast, all devices
December 2017;2;0,00000281;
January 2018;17;0,00002469;
February 2018;2;0,00000270;
March 2018;2;0,00000302;
April 2018;1;0,00000156;
May 2018;4;0,00000679;
June 2018;4;0,00000702;
July 2018;0;0;
August 2018;5;0,00000727;
September 2018;4;0,00000508;
October 2018;0;0;
November 2018;0;0;
December 2018;8;0,00001078;
January 2019;3;0,00000417;
February 2019;7;0,00000917;
March 2019;3;0,00000425;
April 2019;0;0;
May 2019;1;0,00000168;
June 2019;1;0,00000169;
July 2019;0;0;
August 2019;0;0;
September 2019;1;0,00000133;
October 2019;1;0,00000129;
November 2019;1;0,00000122;
December 2019;2;0,00000238;
January 2020;1;0,00000119;
February 2020;0;0;
March 2020;2;0,00000168;
April 2020;1;0,00000094;
May 2020;1;0,00000120;
June 2020;1;0,00000131;
July 2020;1;0,00000129;
August 2020;3;0,00000331;
September 2020;1;0,00000095;
October 2020;1;0,00000081;
November 2020;1;0,00000092;
December 2020;1;0,00000100;
January 2021;2;0,00000205;
February 2021;1;0,00000097;
March 2021;1;0,00000097;
April 2021;0;0;
May 2021;0;0;
June 2021;4;0,00000461;
July 2021;3;0,00000343;
August 2021;0;0;
September 2021;0;0;
October 2021;1;0,00000084;
November 2021;1;0,00000081;
December 2021;2;0,00000167;
January 2022;2;0,00000165;
February 2022;3;0,00000231;
March 2022;1;0,00000083;
April 2022;13;0,00001081;
May 2022;1;0,00000095;
June 2022;2;0,00000200;
July 2022;3;0,00000301;
August 2022;0;0;
September 2022;0;0;
October 2022;7;0,00000552;
November 2022;0;0;
December 2022;2;0,00000156;
January 2023;3;0,00000251;
February 2023;2;0,00000155;
March 2023;0;0;
April 2023;2;0,00000172;
May 2023;0;0;
June 2023;0;0;
July 2023;1;0,00000101;
August 2023;2;0,00000179;
September 2023;5;0,00000400;
October 2023;2;0,00000161;
November 2023;2;0,00000158;
December 2023;3;0,00000237;
January 2024;0;0;
February 2024;0;0;
March 2024;0;0;
April 2024;1;0,00000092;
May 2024;2;0,00000218;
June 2024;2;0,00000220;
July 2024;17;0,00001880;
August 2024;1;0,00000102;
September 2024;8;0,00000715;
October 2024;0;0;
November 2024;1;0,00000083;
