Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Moscow and Moscow Oblast, except Moscow, all devices
December 2017;6 612;0,001518;
January 2018;6 257;0,001462;
February 2018;8 865;0,001855;
March 2018;5 507;0,001296;
April 2018;3 810;0,000916;
May 2018;3 722;0,000936;
June 2018;3 101;0,000760;
July 2018;3 042;0,000742;
August 2018;3 125;0,000669;
September 2018;3 512;0,000648;
October 2018;4 313;0,000858;
November 2018;4 738;0,000948;
December 2018;6 497;0,001238;
January 2019;6 315;0,001233;
February 2019;7 373;0,001332;
March 2019;5 245;0,001044;
April 2019;5 025;0,001049;
May 2019;4 576;0,001006;
June 2019;3 770;0,000820;
July 2019;2 812;0,000616;
August 2019;2 348;0,000483;
September 2019;2 399;0,000443;
October 2019;2 975;0,000545;
November 2019;2 922;0,000518;
December 2019;3 843;0,000670;
January 2020;3 521;0,000634;
February 2020;3 342;0,000534;
March 2020;2 268;0,000290;
April 2020;3 546;0,000480;
May 2020;3 208;0,000542;
June 2020;2 432;0,000447;
July 2020;1 909;0,000358;
August 2020;1 917;0,000328;
September 2020;1 700;0,000254;
October 2020;1 979;0,000282;
November 2020;1 665;0,000247;
December 2020;2 534;0,000394;
January 2021;2 053;0,000341;
February 2021;2 388;0,000360;
March 2021;2 429;0,000343;
April 2021;2 628;0,000336;
May 2021;2 229;0,000298;
June 2021;1 899;0,000302;
July 2021;1 628;0,000251;
August 2021;2 324;0,000295;
September 2021;2 490;0,000297;
October 2021;2 722;0,000310;
November 2021;3 272;0,000372;
December 2021;4 025;0,000445;
January 2022;3 118;0,000359;
February 2022;3 222;0,000329;
March 2022;2 853;0,000313;
April 2022;2 075;0,000229;
May 2022;1 796;0,000219;
June 2022;1 574;0,000192;
July 2022;1 387;0,000167;
August 2022;918;0,000100;
September 2022;946;0,000100;
October 2022;956;0,000102;
November 2022;922;0,000099;
December 2022;1 046;0,000113;
January 2023;1 228;0,000147;
February 2023;1 148;0,000124;
March 2023;825;0,000099;
April 2023;814;0,000096;
May 2023;592;0,000076;
June 2023;661;0,000084;
July 2023;588;0,000076;
August 2023;476;0,000060;
September 2023;604;0,000070;
October 2023;656;0,000078;
November 2023;651;0,000076;
December 2023;908;0,000103;
January 2024;736;0,000090;
February 2024;988;0,000114;
March 2024;1 083;0,000136;
April 2024;605;0,000076;
May 2024;563;0,000078;
June 2024;487;0,000067;
July 2024;508;0,000070;
August 2024;350;0,000046;
September 2024;451;0,000055;
October 2024;468;0,000056;
November 2024;543;0,000062;
