Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Penza Oblast, all devices
December 2017;3;0,0000058;
January 2018;11;0,0000218;
February 2018;1;0,0000018;
March 2018;0;0;
April 2018;4;0,0000085;
May 2018;0;0;
June 2018;0;0;
July 2018;2;0,0000045;
August 2018;0;0;
September 2018;0;0;
October 2018;4;0,0000075;
November 2018;1;0,0000018;
December 2018;8;0,0000144;
January 2019;3;0,0000057;
February 2019;5;0,0000089;
March 2019;0;0;
April 2019;4;0,0000083;
May 2019;7;0,0000158;
June 2019;2;0,0000044;
July 2019;2;0,0000044;
August 2019;0;0;
September 2019;0;0;
October 2019;1;0,0000017;
November 2019;5;0,0000082;
December 2019;1;0,0000015;
January 2020;3;0,0000048;
February 2020;0;0;
March 2020;0;0;
April 2020;0;0;
May 2020;0;0;
June 2020;0;0;
July 2020;0;0;
August 2020;0;0;
September 2020;0;0;
October 2020;0;0;
November 2020;0;0;
December 2020;0;0;
January 2021;1;0,0000014;
February 2021;1;0,0000013;
March 2021;0;0;
April 2021;8;0,0000112;
May 2021;1;0,0000014;
June 2021;0;0;
July 2021;0;0;
August 2021;3;0,0000041;
September 2021;2;0,0000025;
October 2021;0;0;
November 2021;2;0,0000023;
December 2021;4;0,0000047;
January 2022;0;0;
February 2022;7;0,0000076;
March 2022;3;0,0000035;
April 2022;6;0,0000070;
May 2022;3;0,0000040;
June 2022;1;0,0000013;
July 2022;0;0;
August 2022;0;0;
September 2022;3;0,0000033;
October 2022;1;0,0000011;
November 2022;0;0;
December 2022;4;0,0000044;
January 2023;1;0,0000012;
February 2023;0;0;
March 2023;4;0,0000049;
April 2023;4;0,0000048;
May 2023;0;0;
June 2023;1;0,0000013;
July 2023;23;0,0000315;
August 2023;3;0,0000038;
September 2023;1;0,0000011;
October 2023;3;0,0000034;
November 2023;1;0,0000011;
December 2023;2;0,0000022;
January 2024;1;0,0000012;
February 2024;2;0,0000023;
March 2024;4;0,0000049;
April 2024;0;0;
May 2024;2;0,0000027;
June 2024;4;0,0000056;
July 2024;0;0;
August 2024;0;0;
September 2024;1;0,0000012;
October 2024;4;0,0000047;
November 2024;1;0,0000011;
