Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Samara Oblast, all devices
December 2017;9;0,00000581;
January 2018;9;0,00000539;
February 2018;32;0,00001591;
March 2018;6;0,00000319;
April 2018;5;0,00000278;
May 2018;30;0,00001784;
June 2018;32;0,00001820;
July 2018;8;0,00000458;
August 2018;19;0,00000944;
September 2018;12;0,00000522;
October 2018;14;0,00000655;
November 2018;30;0,00001393;
December 2018;75;0,00003421;
January 2019;120;0,00005604;
February 2019;58;0,00002610;
March 2019;16;0,00000762;
April 2019;61;0,00003026;
May 2019;20;0,00001096;
June 2019;23;0,00001247;
July 2019;48;0,00002526;
August 2019;43;0,00002122;
September 2019;17;0,00000792;
October 2019;29;0,00001378;
November 2019;20;0,00000948;
December 2019;42;0,00001990;
January 2020;47;0,00002293;
February 2020;20;0,00000876;
March 2020;5;0,00000173;
April 2020;13;0,00000529;
May 2020;10;0,00000537;
June 2020;26;0,00001626;
July 2020;5;0,00000304;
August 2020;13;0,00000719;
September 2020;12;0,00000589;
October 2020;34;0,00001528;
November 2020;47;0,00002096;
December 2020;22;0,00001097;
January 2021;8;0,00000421;
February 2021;30;0,00001406;
March 2021;6;0,00000287;
April 2021;5;0,00000254;
May 2021;3;0,00000152;
June 2021;0;0;
July 2021;4;0,00000204;
August 2021;6;0,00000287;
September 2021;4;0,00000171;
October 2021;13;0,00000548;
November 2021;77;0,00003283;
December 2021;26;0,00001124;
January 2022;4;0,00000172;
February 2022;13;0,00000508;
March 2022;6;0,00000256;
April 2022;4;0,00000171;
May 2022;12;0,00000578;
June 2022;11;0,00000545;
July 2022;2;0,00000098;
August 2022;4;0,00000175;
September 2022;13;0,00000532;
October 2022;9;0,00000361;
November 2022;10;0,00000397;
December 2022;22;0,00000889;
January 2023;13;0,00000573;
February 2023;15;0,00000610;
March 2023;7;0,00000306;
April 2023;3;0,00000133;
May 2023;5;0,00000243;
June 2023;1;0,00000049;
July 2023;2;0,00000099;
August 2023;12;0,00000562;
September 2023;4;0,00000166;
October 2023;7;0,00000297;
November 2023;11;0,00000461;
December 2023;10;0,00000418;
January 2024;9;0,00000400;
February 2024;7;0,00000302;
March 2024;10;0,00000467;
April 2024;11;0,00000521;
May 2024;4;0,00000217;
June 2024;16;0,00000875;
July 2024;19;0,00001029;
August 2024;6;0,00000312;
September 2024;4;0,00000178;
October 2024;10;0,00000427;
November 2024;1;0,00000041;
