Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Ulyanovsk Oblast, all devices
December 2017;3;0,0000062;
January 2018;0;0;
February 2018;15;0,0000299;
March 2018;0;0;
April 2018;0;0;
May 2018;1;0,0000024;
June 2018;0;0;
July 2018;0;0;
August 2018;2;0,0000042;
September 2018;1;0,0000018;
October 2018;2;0,0000041;
November 2018;4;0,0000081;
December 2018;9;0,0000177;
January 2019;3;0,0000062;
February 2019;1;0,0000019;
March 2019;8;0,0000169;
April 2019;1;0,0000022;
May 2019;0;0;
June 2019;4;0,0000100;
July 2019;0;0;
August 2019;0;0;
September 2019;0;0;
October 2019;1;0,0000019;
November 2019;0;0;
December 2019;3;0,0000052;
January 2020;11;0,0000193;
February 2020;2;0,0000033;
March 2020;4;0,0000053;
April 2020;0;0;
May 2020;6;0,0000107;
June 2020;5;0,0000102;
July 2020;1;0,0000019;
August 2020;5;0,0000084;
September 2020;2;0,0000029;
October 2020;12;0,0000167;
November 2020;0;0;
December 2020;1;0,0000014;
January 2021;0;0;
February 2021;0;0;
March 2021;1;0,0000015;
April 2021;2;0,0000031;
May 2021;0;0;
June 2021;0;0;
July 2021;1;0,0000017;
August 2021;0;0;
September 2021;1;0,0000013;
October 2021;6;0,0000079;
November 2021;1;0,0000012;
December 2021;3;0,0000039;
January 2022;0;0;
February 2022;1;0,0000011;
March 2022;20;0,0000261;
April 2022;5;0,0000064;
May 2022;2;0,0000029;
June 2022;2;0,0000030;
July 2022;0;0;
August 2022;0;0;
September 2022;2;0,0000025;
October 2022;2;0,0000024;
November 2022;3;0,0000036;
December 2022;15;0,0000182;
January 2023;2;0,0000026;
February 2023;0;0;
March 2023;0;0;
April 2023;1;0,0000013;
May 2023;0;0;
June 2023;0;0;
July 2023;0;0;
August 2023;0;0;
September 2023;1;0,0000012;
October 2023;0;0;
November 2023;3;0,0000038;
December 2023;1;0,0000012;
January 2024;6;0,0000083;
February 2024;2;0,0000026;
March 2024;1;0,0000014;
April 2024;2;0,0000028;
May 2024;1;0,0000016;
June 2024;1;0,0000016;
July 2024;1;0,0000016;
August 2024;0;0;
September 2024;4;0,0000054;
October 2024;0;0;
November 2024;1;0,0000012;
