Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Altai Republic, all devices
December 2017;0;0;
January 2018;0;0;
February 2018;0;0;
March 2018;0;0;
April 2018;0;0;
May 2018;0;0;
June 2018;0;0;
July 2018;2;0,0000366;
August 2018;0;0;
September 2018;0;0;
October 2018;0;0;
November 2018;0;0;
December 2018;0;0;
January 2019;0;0;
February 2019;0;0;
March 2019;1;0,0000149;
April 2019;1;0,0000156;
May 2019;0;0;
June 2019;0;0;
July 2019;0;0;
August 2019;0;0;
September 2019;0;0;
October 2019;0;0;
November 2019;0;0;
December 2019;1;0,0000120;
January 2020;0;0;
February 2020;0;0;
March 2020;0;0;
April 2020;2;0,0000223;
May 2020;0;0;
June 2020;0;0;
July 2020;0;0;
August 2020;1;0,0000113;
September 2020;0;0;
October 2020;0;0;
November 2020;1;0,0000093;
December 2020;0;0;
January 2021;0;0;
February 2021;0;0;
March 2021;0;0;
April 2021;0;0;
May 2021;0;0;
June 2021;0;0;
July 2021;0;0;
August 2021;0;0;
September 2021;0;0;
October 2021;0;0;
November 2021;2;0,0000164;
December 2021;0;0;
January 2022;0;0;
February 2022;0;0;
March 2022;0;0;
April 2022;0;0;
May 2022;0;0;
June 2022;5;0,0000446;
July 2022;0;0;
August 2022;12;0,0000926;
September 2022;3;0,0000236;
October 2022;6;0,0000440;
November 2022;0;0;
December 2022;6;0,0000453;
January 2023;0;0;
February 2023;0;0;
March 2023;0;0;
April 2023;0;0;
May 2023;0;0;
June 2023;0;0;
July 2023;1;0,0000084;
August 2023;0;0;
September 2023;0;0;
October 2023;2;0,0000157;
November 2023;1;0,0000075;
December 2023;1;0,0000076;
January 2024;0;0;
February 2024;0;0;
March 2024;0;0;
April 2024;0;0;
May 2024;0;0;
June 2024;1;0,0000092;
July 2024;1;0,0000093;
August 2024;1;0,0000093;
September 2024;1;0,0000082;
October 2024;1;0,0000079;
November 2024;5;0,0000377;
