Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Krasnoyarsk Krai, all devices
December 2017;76;0,0000607;
January 2018;25;0,0000207;
February 2018;52;0,0000407;
March 2018;27;0,0000228;
April 2018;20;0,0000161;
May 2018;7;0,0000069;
June 2018;4;0,0000038;
July 2018;8;0,0000074;
August 2018;20;0,0000161;
September 2018;29;0,0000203;
October 2018;43;0,0000325;
November 2018;19;0,0000142;
December 2018;43;0,0000326;
January 2019;79;0,0000602;
February 2019;24;0,0000181;
March 2019;21;0,0000160;
April 2019;32;0,0000260;
May 2019;19;0,0000177;
June 2019;33;0,0000317;
July 2019;71;0,0000658;
August 2019;32;0,0000267;
September 2019;42;0,0000302;
October 2019;30;0,0000214;
November 2019;23;0,0000157;
December 2019;15;0,0000100;
January 2020;34;0,0000237;
February 2020;20;0,0000127;
March 2020;35;0,0000183;
April 2020;16;0,0000090;
May 2020;16;0,0000109;
June 2020;27;0,0000205;
July 2020;9;0,0000068;
August 2020;10;0,0000065;
September 2020;9;0,0000048;
October 2020;22;0,0000106;
November 2020;17;0,0000089;
December 2020;38;0,0000222;
January 2021;13;0,0000081;
February 2021;39;0,0000220;
March 2021;27;0,0000153;
April 2021;19;0,0000110;
May 2021;17;0,0000107;
June 2021;19;0,0000129;
July 2021;12;0,0000079;
August 2021;47;0,0000279;
September 2021;15;0,0000079;
October 2021;16;0,0000082;
November 2021;11;0,0000054;
December 2021;17;0,0000085;
January 2022;28;0,0000142;
February 2022;12;0,0000055;
March 2022;36;0,0000176;
April 2022;15;0,0000079;
May 2022;53;0,0000309;
June 2022;24;0,0000146;
July 2022;12;0,0000067;
August 2022;48;0,0000257;
September 2022;21;0,0000102;
October 2022;20;0,0000094;
November 2022;13;0,0000060;
December 2022;11;0,0000052;
January 2023;30;0,0000155;
February 2023;15;0,0000069;
March 2023;18;0,0000084;
April 2023;4;0,0000019;
May 2023;5;0,0000028;
June 2023;32;0,0000196;
July 2023;135;0,0000794;
August 2023;13;0,0000069;
September 2023;7;0,0000033;
October 2023;10;0,0000048;
November 2023;5;0,0000023;
December 2023;20;0,0000097;
January 2024;26;0,0000133;
February 2024;28;0,0000136;
March 2024;21;0,0000106;
April 2024;37;0,0000202;
May 2024;17;0,0000112;
June 2024;7;0,0000047;
July 2024;16;0,0000108;
August 2024;6;0,0000036;
September 2024;6;0,0000031;
October 2024;15;0,0000077;
November 2024;20;0,0000099;
