Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Republic of Khakassia, all devices
December 2017;1;0,0000052;
January 2018;0;0;
February 2018;4;0,0000206;
March 2018;1;0,0000056;
April 2018;1;0,0000053;
May 2018;0;0;
June 2018;3;0,0000176;
July 2018;3;0,0000175;
August 2018;2;0,0000105;
September 2018;2;0,0000092;
October 2018;1;0,0000049;
November 2018;2;0,0000100;
December 2018;0;0;
January 2019;3;0,0000153;
February 2019;0;0;
March 2019;0;0;
April 2019;1;0,0000053;
May 2019;0;0;
June 2019;0;0;
July 2019;0;0;
August 2019;5;0,0000280;
September 2019;15;0,0000732;
October 2019;0;0;
November 2019;1;0,0000045;
December 2019;0;0;
January 2020;0;0;
February 2020;0;0;
March 2020;2;0,0000066;
April 2020;2;0,0000072;
May 2020;0;0;
June 2020;0;0;
July 2020;0;0;
August 2020;2;0,0000086;
September 2020;1;0,0000036;
October 2020;0;0;
November 2020;1;0,0000035;
December 2020;1;0,0000037;
January 2021;2;0,0000080;
February 2021;2;0,0000076;
March 2021;3;0,0000111;
April 2021;0;0;
May 2021;1;0,0000040;
June 2021;0;0;
July 2021;1;0,0000041;
August 2021;0;0;
September 2021;2;0,0000068;
October 2021;2;0,0000066;
November 2021;3;0,0000096;
December 2021;0;0;
January 2022;0;0;
February 2022;0;0;
March 2022;0;0;
April 2022;1;0,0000034;
May 2022;1;0,0000036;
June 2022;3;0,0000111;
July 2022;0;0;
August 2022;13;0,0000439;
September 2022;0;0;
October 2022;1;0,0000029;
November 2022;0;0;
December 2022;0;0;
January 2023;0;0;
February 2023;0;0;
March 2023;0;0;
April 2023;0;0;
May 2023;0;0;
June 2023;0;0;
July 2023;0;0;
August 2023;0;0;
September 2023;4;0,0000126;
October 2023;0;0;
November 2023;1;0,0000030;
December 2023;2;0,0000060;
January 2024;0;0;
February 2024;0;0;
March 2024;1;0,0000033;
April 2024;1;0,0000035;
May 2024;0;0;
June 2024;9;0,0000367;
July 2024;0;0;
August 2024;1;0,0000037;
September 2024;2;0,0000067;
October 2024;0;0;
November 2024;0;0;
