Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Primorsky Krai, all devices
December 2017;6;0,00001092;
January 2018;8;0,00001484;
February 2018;14;0,00002448;
March 2018;7;0,00001327;
April 2018;17;0,00003166;
May 2018;1;0,00000197;
June 2018;4;0,00000728;
July 2018;9;0,00001674;
August 2018;6;0,00001059;
September 2018;18;0,00002806;
October 2018;6;0,00000992;
November 2018;14;0,00002042;
December 2018;43;0,00005349;
January 2019;22;0,00002944;
February 2019;18;0,00002239;
March 2019;34;0,00004371;
April 2019;68;0,00008376;
May 2019;23;0,00003063;
June 2019;128;0,00017512;
July 2019;68;0,00009159;
August 2019;82;0,00011817;
September 2019;39;0,00005420;
October 2019;28;0,00003880;
November 2019;23;0,00003059;
December 2019;9;0,00001171;
January 2020;15;0,00002024;
February 2020;10;0,00001234;
March 2020;5;0,00000507;
April 2020;6;0,00000682;
May 2020;13;0,00001687;
June 2020;9;0,00001265;
July 2020;28;0,00003809;
August 2020;7;0,00000862;
September 2020;11;0,00001230;
October 2020;28;0,00003280;
November 2020;18;0,00002061;
December 2020;6;0,00000726;
January 2021;9;0,00001155;
February 2021;20;0,00002354;
March 2021;8;0,00000948;
April 2021;11;0,00001315;
May 2021;18;0,00002203;
June 2021;14;0,00001755;
July 2021;8;0,00000974;
August 2021;33;0,00003986;
September 2021;3;0,00000342;
October 2021;16;0,00001764;
November 2021;9;0,00000963;
December 2021;3;0,00000321;
January 2022;8;0,00000874;
February 2022;12;0,00001191;
March 2022;17;0,00001774;
April 2022;3;0,00000312;
May 2022;3;0,00000329;
June 2022;6;0,00000675;
July 2022;3;0,00000342;
August 2022;5;0,00000519;
September 2022;14;0,00001361;
October 2022;16;0,00001440;
November 2022;0;0;
December 2022;6;0,00000574;
January 2023;5;0,00000519;
February 2023;6;0,00000566;
March 2023;1;0,00000098;
April 2023;1;0,00000103;
May 2023;5;0,00000574;
June 2023;11;0,00001265;
July 2023;0;0;
August 2023;5;0,00000555;
September 2023;1;0,00000101;
October 2023;0;0;
November 2023;1;0,00000100;
December 2023;7;0,00000692;
January 2024;0;0;
February 2024;4;0,00000412;
March 2024;28;0,00003024;
April 2024;2;0,00000222;
May 2024;7;0,00000857;
June 2024;1;0,00000124;
July 2024;1;0,00000125;
August 2024;2;0,00000239;
September 2024;25;0,00002619;
October 2024;14;0,00001425;
November 2024;25;0,00002461;
