Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Sakha (Yakutia) Republic, all devices
December 2017;15;0,0000887;
January 2018;53;0,0003124;
February 2018;6;0,0000337;
March 2018;6;0,0000357;
April 2018;10;0,0000596;
May 2018;7;0,0000488;
June 2018;2;0,0000139;
July 2018;6;0,0000413;
August 2018;2;0,0000120;
September 2018;5;0,0000246;
October 2018;3;0,0000147;
November 2018;1;0,0000049;
December 2018;5;0,0000237;
January 2019;0;0;
February 2019;1;0,0000046;
March 2019;2;0,0000095;
April 2019;4;0,0000202;
May 2019;3;0,0000184;
June 2019;9;0,0000574;
July 2019;11;0,0000688;
August 2019;1;0,0000054;
September 2019;6;0,0000265;
October 2019;3;0,0000130;
November 2019;3;0,0000120;
December 2019;2;0,0000075;
January 2020;4;0,0000153;
February 2020;5;0,0000181;
March 2020;3;0,0000081;
April 2020;0;0;
May 2020;9;0,0000361;
June 2020;3;0,0000135;
July 2020;2;0,0000093;
August 2020;4;0,0000145;
September 2020;1;0,0000027;
October 2020;4;0,0000104;
November 2020;2;0,0000057;
December 2020;1;0,0000030;
January 2021;4;0,0000132;
February 2021;3;0,0000094;
March 2021;4;0,0000122;
April 2021;16;0,0000484;
May 2021;0;0;
June 2021;15;0,0000588;
July 2021;0;0;
August 2021;3;0,0000100;
September 2021;4;0,0000105;
October 2021;11;0,0000301;
November 2021;4;0,0000101;
December 2021;20;0,0000522;
January 2022;7;0,0000175;
February 2022;5;0,0000126;
March 2022;22;0,0000581;
April 2022;15;0,0000395;
May 2022;9;0,0000290;
June 2022;4;0,0000134;
July 2022;6;0,0000187;
August 2022;0;0;
September 2022;6;0,0000151;
October 2022;1;0,0000023;
November 2022;0;0;
December 2022;12;0,0000265;
January 2023;1;0,0000024;
February 2023;11;0,0000254;
March 2023;9;0,0000214;
April 2023;5;0,0000117;
May 2023;0;0;
June 2023;1;0,0000029;
July 2023;3;0,0000085;
August 2023;12;0,0000318;
September 2023;10;0,0000231;
October 2023;4;0,0000091;
November 2023;13;0,0000281;
December 2023;5;0,0000113;
January 2024;4;0,0000097;
February 2024;5;0,0000118;
March 2024;1;0,0000024;
April 2024;4;0,0000104;
May 2024;7;0,0000213;
June 2024;3;0,0000093;
July 2024;7;0,0000218;
August 2024;6;0,0000170;
September 2024;7;0,0000166;
October 2024;7;0,0000163;
November 2024;6;0,0000131;
