Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Karachay-Cherkess Republic, all devices
December 2017;0;0;
January 2018;0;0;
February 2018;0;0;
March 2018;3;0,0000408;
April 2018;0;0;
May 2018;0;0;
June 2018;0;0;
July 2018;0;0;
August 2018;0;0;
September 2018;0;0;
October 2018;0;0;
November 2018;0;0;
December 2018;0;0;
January 2019;1;0,0000166;
February 2019;0;0;
March 2019;0;0;
April 2019;1;0,0000172;
May 2019;0;0;
June 2019;0;0;
July 2019;0;0;
August 2019;0;0;
September 2019;0;0;
October 2019;3;0,0000410;
November 2019;1;0,0000134;
December 2019;0;0;
January 2020;0;0;
February 2020;0;0;
March 2020;0;0;
April 2020;3;0,0000330;
May 2020;0;0;
June 2020;2;0,0000279;
July 2020;0;0;
August 2020;0;0;
September 2020;0;0;
October 2020;8;0,0000826;
November 2020;4;0,0000417;
December 2020;9;0,0001054;
January 2021;0;0;
February 2021;1;0,0000115;
March 2021;0;0;
April 2021;5;0,0000452;
May 2021;0;0;
June 2021;2;0,0000245;
July 2021;1;0,0000120;
August 2021;1;0,0000097;
September 2021;0;0;
October 2021;0;0;
November 2021;0;0;
December 2021;0;0;
January 2022;0;0;
February 2022;0;0;
March 2022;1;0,0000076;
April 2022;0;0;
May 2022;0;0;
June 2022;0;0;
July 2022;0;0;
August 2022;0;0;
September 2022;2;0,0000146;
October 2022;1;0,0000072;
November 2022;0;0;
December 2022;0;0;
January 2023;0;0;
February 2023;0;0;
March 2023;0;0;
April 2023;2;0,0000149;
May 2023;1;0,0000084;
June 2023;0;0;
July 2023;0;0;
August 2023;0;0;
September 2023;0;0;
October 2023;0;0;
November 2023;0;0;
December 2023;0;0;
January 2024;2;0,0000144;
February 2024;3;0,0000216;
March 2024;2;0,0000159;
April 2024;2;0,0000155;
May 2024;0;0;
June 2024;0;0;
July 2024;0;0;
August 2024;0;0;
September 2024;3;0,0000226;
October 2024;5;0,0000365;
November 2024;1;0,0000067;
