Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Republic of Dagestan, all devices
December 2017;4;0,0000085;
January 2018;0;0;
February 2018;4;0,0000082;
March 2018;1;0,0000023;
April 2018;3;0,0000070;
May 2018;6;0,0000150;
June 2018;1;0,0000024;
July 2018;1;0,0000024;
August 2018;5;0,0000112;
September 2018;8;0,0000158;
October 2018;0;0;
November 2018;1;0,0000019;
December 2018;0;0;
January 2019;0;0;
February 2019;1;0,0000019;
March 2019;1;0,0000020;
April 2019;0;0;
May 2019;1;0,0000024;
June 2019;0;0;
July 2019;1;0,0000024;
August 2019;3;0,0000065;
September 2019;0;0;
October 2019;0;0;
November 2019;1;0,0000017;
December 2019;0;0;
January 2020;0;0;
February 2020;1;0,0000016;
March 2020;0;0;
April 2020;1;0,0000013;
May 2020;10;0,0000175;
June 2020;2;0,0000039;
July 2020;0;0;
August 2020;2;0,0000035;
September 2020;1;0,0000015;
October 2020;1;0,0000014;
November 2020;1;0,0000015;
December 2020;2;0,0000031;
January 2021;1;0,0000016;
February 2021;1;0,0000016;
March 2021;4;0,0000065;
April 2021;1;0,0000016;
May 2021;1;0,0000017;
June 2021;0;0;
July 2021;2;0,0000034;
August 2021;0;0;
September 2021;1;0,0000014;
October 2021;1;0,0000014;
November 2021;1;0,0000013;
December 2021;1;0,0000012;
January 2022;9;0,0000120;
February 2022;0;0;
March 2022;3;0,0000040;
April 2022;2;0,0000027;
May 2022;9;0,0000134;
June 2022;1;0,0000014;
July 2022;3;0,0000043;
August 2022;1;0,0000013;
September 2022;6;0,0000074;
October 2022;0;0;
November 2022;0;0;
December 2022;2;0,0000024;
January 2023;0;0;
February 2023;1;0,0000012;
March 2023;0;0;
April 2023;0;0;
May 2023;0;0;
June 2023;2;0,0000029;
July 2023;1;0,0000014;
August 2023;0;0;
September 2023;1;0,0000012;
October 2023;0;0;
November 2023;3;0,0000036;
December 2023;0;0;
January 2024;2;0,0000026;
February 2024;0;0;
March 2024;0;0;
April 2024;0;0;
May 2024;0;0;
June 2024;21;0,0000334;
July 2024;636;0,0009267;
August 2024;242;0,0003662;
September 2024;271;0,0003708;
October 2024;283;0,0003358;
November 2024;10;0,0000122;
