Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Kurgan Oblast, all devices
December 2017;4;0,0000136;
January 2018;0;0;
February 2018;0;0;
March 2018;3;0,0000105;
April 2018;0;0;
May 2018;2;0,0000078;
June 2018;4;0,0000162;
July 2018;0;0;
August 2018;0;0;
September 2018;1;0,0000030;
October 2018;26;0,0000861;
November 2018;2;0,0000064;
December 2018;0;0;
January 2019;0;0;
February 2019;0;0;
March 2019;0;0;
April 2019;0;0;
May 2019;4;0,0000155;
June 2019;0;0;
July 2019;0;0;
August 2019;0;0;
September 2019;0;0;
October 2019;0;0;
November 2019;3;0,0000090;
December 2019;0;0;
January 2020;0;0;
February 2020;0;0;
March 2020;0;0;
April 2020;3;0,0000075;
May 2020;0;0;
June 2020;0;0;
July 2020;0;0;
August 2020;0;0;
September 2020;0;0;
October 2020;1;0,0000019;
November 2020;0;0;
December 2020;0;0;
January 2021;0;0;
February 2021;0;0;
March 2021;6;0,0000155;
April 2021;1;0,0000026;
May 2021;1;0,0000026;
June 2021;4;0,0000114;
July 2021;1;0,0000024;
August 2021;4;0,0000098;
September 2021;0;0;
October 2021;0;0;
November 2021;0;0;
December 2021;0;0;
January 2022;0;0;
February 2022;0;0;
March 2022;8;0,0000177;
April 2022;1;0,0000022;
May 2022;0;0;
June 2022;1;0,0000025;
July 2022;0;0;
August 2022;0;0;
September 2022;0;0;
October 2022;0;0;
November 2022;1;0,0000020;
December 2022;0;0;
January 2023;1;0,0000022;
February 2023;3;0,0000061;
March 2023;0;0;
April 2023;0;0;
May 2023;0;0;
June 2023;0;0;
July 2023;0;0;
August 2023;0;0;
September 2023;0;0;
October 2023;0;0;
November 2023;0;0;
December 2023;0;0;
January 2024;0;0;
February 2024;0;0;
March 2024;0;0;
April 2024;0;0;
May 2024;0;0;
June 2024;0;0;
July 2024;0;0;
August 2024;0;0;
September 2024;0;0;
October 2024;0;0;
November 2024;0;0;
