Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Smolensk Oblast, all devices
December 2017;291 552;0,77;
January 2018;284 775;0,75;
February 2018;305 202;0,75;
March 2018;277 955;0,76;
April 2018;283 461;0,79;
May 2018;229 014;0,66;
June 2018;211 862;0,61;
July 2018;217 764;0,63;
August 2018;282 471;0,73;
September 2018;348 260;0,79;
October 2018;305 332;0,76;
November 2018;292 231;0,73;
December 2018;322 261;0,77;
January 2019;308 445;0,78;
February 2019;321 456;0,76;
March 2019;297 787;0,78;
April 2019;293 242;0,78;
May 2019;230 736;0,68;
June 2019;225 014;0,64;
July 2019;216 247;0,63;
August 2019;269 992;0,75;
September 2019;329 129;0,80;
October 2019;317 499;0,77;
November 2019;331 493;0,77;
December 2019;362 689;0,82;
January 2020;333 272;0,78;
February 2020;350 815;0,75;
March 2020;487 360;0,79;
April 2020;442 340;0,81;
May 2020;322 887;0,74;
June 2020;283 910;0,68;
July 2020;260 423;0,65;
August 2020;323 569;0,75;
September 2020;385 961;0,77;
October 2020;389 644;0,75;
November 2020;389 342;0,78;
December 2020;396 629;0,81;
January 2021;407 174;0,87;
February 2021;452 444;0,85;
March 2021;471 998;0,86;
April 2021;462 615;0,82;
May 2021;385 185;0,74;
June 2021;306 543;0,65;
July 2021;304 948;0,62;
August 2021;409 458;0,75;
September 2021;459 208;0,77;
October 2021;465 862;0,76;
November 2021;501 200;0,78;
December 2021;510 135;0,80;
January 2022;487 170;0,78;
February 2022;537 760;0,79;
March 2022;528 285;0,80;
April 2022;480 474;0,76;
May 2022;382 006;0,66;
June 2022;346 150;0,61;
July 2022;336 066;0,60;
August 2022;407 285;0,66;
September 2022;462 957;0,70;
October 2022;453 887;0,68;
November 2022;436 077;0,66;
December 2022;455 832;0,68;
January 2023;407 989;0,66;
February 2023;455 659;0,68;
March 2023;409 073;0,67;
April 2023;419 925;0,69;
May 2023;313 977;0,56;
June 2023;285 446;0,51;
July 2023;284 044;0,52;
August 2023;347 528;0,62;
September 2023;433 429;0,68;
October 2023;412 850;0,66;
November 2023;410 884;0,66;
December 2023;415 236;0,65;
January 2024;397 320;0,67;
February 2024;386 225;0,64;
March 2024;397 001;0,69;
April 2024;365 672;0,66;
May 2024;285 670;0,58;
June 2024;270 101;0,54;
July 2024;250 213;0,51;
August 2024;326 733;0,63;
September 2024;403 356;0,69;
October 2024;397 066;0,66;
November 2024;437 739;0,71;
