Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Tambov Oblast, all devices
December 2017;266 251;0,77;
January 2018;258 956;0,75;
February 2018;271 116;0,72;
March 2018;247 636;0,75;
April 2018;247 031;0,78;
May 2018;196 573;0,66;
June 2018;189 038;0,62;
July 2018;183 548;0,61;
August 2018;251 502;0,71;
September 2018;311 035;0,76;
October 2018;284 686;0,76;
November 2018;285 963;0,75;
December 2018;317 296;0,77;
January 2019;311 629;0,79;
February 2019;319 293;0,77;
March 2019;282 193;0,76;
April 2019;269 105;0,77;
May 2019;215 543;0,67;
June 2019;205 893;0,61;
July 2019;201 412;0,61;
August 2019;260 625;0,73;
September 2019;318 701;0,79;
October 2019;319 306;0,78;
November 2019;335 390;0,77;
December 2019;356 239;0,80;
January 2020;333 366;0,78;
February 2020;332 284;0,72;
March 2020;448 844;0,75;
April 2020;385 569;0,75;
May 2020;298 093;0,72;
June 2020;259 934;0,67;
July 2020;243 400;0,63;
August 2020;313 671;0,72;
September 2020;369 460;0,73;
October 2020;395 538;0,73;
November 2020;405 073;0,77;
December 2020;412 527;0,81;
January 2021;432 725;0,85;
February 2021;465 778;0,84;
March 2021;469 923;0,85;
April 2021;451 249;0,82;
May 2021;366 080;0,72;
June 2021;308 476;0,65;
July 2021;317 583;0,65;
August 2021;411 222;0,74;
September 2021;481 355;0,77;
October 2021;482 555;0,77;
November 2021;510 532;0,79;
December 2021;509 760;0,79;
January 2022;481 831;0,76;
February 2022;543 472;0,79;
March 2022;505 275;0,79;
April 2022;479 613;0,76;
May 2022;359 525;0,65;
June 2022;325 885;0,58;
July 2022;315 657;0,57;
August 2022;396 575;0,63;
September 2022;476 629;0,69;
October 2022;492 974;0,72;
November 2022;474 395;0,67;
December 2022;466 377;0,67;
January 2023;424 284;0,67;
February 2023;467 821;0,68;
March 2023;417 593;0,67;
April 2023;423 204;0,69;
May 2023;308 699;0,55;
June 2023;277 157;0,49;
July 2023;279 208;0,51;
August 2023;371 751;0,64;
September 2023;461 533;0,70;
October 2023;439 123;0,68;
November 2023;441 458;0,67;
December 2023;436 188;0,65;
January 2024;420 119;0,67;
February 2024;403 604;0,64;
March 2024;403 318;0,70;
April 2024;396 306;0,69;
May 2024;285 183;0,57;
June 2024;270 670;0,54;
July 2024;257 409;0,51;
August 2024;355 684;0,67;
September 2024;425 644;0,71;
October 2024;441 482;0,70;
November 2024;477 072;0,73;
