Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Volgograd Oblast, all devices
December 2017;684 516;0,72;
January 2018;659 569;0,70;
February 2018;714 448;0,69;
March 2018;614 610;0,69;
April 2018;628 447;0,72;
May 2018;498 716;0,61;
June 2018;492 944;0,58;
July 2018;485 740;0,59;
August 2018;634 252;0,68;
September 2018;754 765;0,69;
October 2018;675 486;0,68;
November 2018;674 001;0,68;
December 2018;727 908;0,71;
January 2019;701 872;0,70;
February 2019;705 739;0,69;
March 2019;652 823;0,70;
April 2019;630 140;0,71;
May 2019;526 626;0,65;
June 2019;490 793;0,58;
July 2019;477 640;0,57;
August 2019;593 242;0,66;
September 2019;693 693;0,69;
October 2019;686 764;0,67;
November 2019;763 051;0,70;
December 2019;819 850;0,74;
January 2020;766 187;0,71;
February 2020;776 328;0,68;
March 2020;1 084 989;0,73;
April 2020;893 820;0,69;
May 2020;757 617;0,70;
June 2020;624 923;0,63;
July 2020;584 170;0,58;
August 2020;743 680;0,67;
September 2020;841 599;0,65;
October 2020;937 162;0,67;
November 2020;932 510;0,70;
December 2020;963 383;0,74;
January 2021;976 931;0,77;
February 2021;1 054 333;0,74;
March 2021;987 530;0,75;
April 2021;962 765;0,73;
May 2021;857 692;0,67;
June 2021;658 761;0,57;
July 2021;654 722;0,56;
August 2021;886 012;0,67;
September 2021;971 111;0,67;
October 2021;1 047 964;0,70;
November 2021;1 122 627;0,72;
December 2021;1 115 983;0,72;
January 2022;1 064 519;0,70;
February 2022;1 193 959;0,70;
March 2022;1 080 713;0,71;
April 2022;1 063 200;0,69;
May 2022;861 818;0,62;
June 2022;755 597;0,55;
July 2022;756 425;0,54;
August 2022;906 483;0,59;
September 2022;976 576;0,59;
October 2022;1 034 265;0,62;
November 2022;1 004 331;0,60;
December 2022;982 689;0,59;
January 2023;894 885;0,58;
February 2023;1 016 368;0,61;
March 2023;896 531;0,59;
April 2023;945 487;0,61;
May 2023;745 694;0,53;
June 2023;657 684;0,48;
July 2023;664 640;0,48;
August 2023;814 950;0,57;
September 2023;957 903;0,59;
October 2023;973 738;0,60;
November 2023;995 132;0,60;
December 2023;946 573;0,58;
January 2024;900 700;0,59;
February 2024;924 220;0,57;
March 2024;874 614;0,61;
April 2024;874 574;0,61;
May 2024;677 780;0,53;
June 2024;636 731;0,50;
July 2024;590 902;0,47;
August 2024;772 556;0,58;
September 2024;935 803;0,61;
October 2024;978 253;0,61;
November 2024;1 049 293;0,63;
