Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Tatarstan, all devices
December 2017;1 187 347;0,77;
January 2018;1 111 695;0,74;
February 2018;1 220 825;0,75;
March 2018;1 128 598;0,75;
April 2018;1 221 715;0,85;
May 2018;846 319;0,65;
June 2018;720 344;0,58;
July 2018;725 927;0,58;
August 2018;1 174 461;0,75;
September 2018;1 430 681;0,79;
October 2018;1 228 495;0,74;
November 2018;1 275 744;0,79;
December 2018;1 275 388;0,76;
January 2019;1 203 226;0,77;
February 2019;1 319 040;0,78;
March 2019;1 291 436;0,79;
April 2019;1 308 936;0,87;
May 2019;909 528;0,66;
June 2019;788 067;0,58;
July 2019;799 135;0,56;
August 2019;1 186 548;0,75;
September 2019;1 475 266;0,80;
October 2019;1 368 972;0,74;
November 2019;1 578 642;0,83;
December 2019;1 574 403;0,80;
January 2020;1 392 409;0,77;
February 2020;1 460 542;0,75;
March 2020;1 999 321;0,76;
April 2020;1 828 116;0,85;
May 2020;1 277 803;0,72;
June 2020;1 001 945;0,61;
July 2020;1 090 593;0,59;
August 2020;1 578 433;0,73;
September 2020;1 931 710;0,76;
October 2020;1 842 720;0,74;
November 2020;1 973 641;0,82;
December 2020;1 915 034;0,81;
January 2021;1 858 062;0,83;
February 2021;1 912 621;0,82;
March 2021;1 930 916;0,84;
April 2021;1 747 157;0,85;
May 2021;1 364 393;0,67;
June 2021;1 156 052;0,58;
July 2021;1 185 910;0,57;
August 2021;1 676 489;0,74;
September 2021;1 932 533;0,78;
October 2021;1 912 860;0,77;
November 2021;2 120 272;0,83;
December 2021;1 905 252;0,76;
January 2022;1 850 448;0,75;
February 2022;2 167 579;0,79;
March 2022;1 997 439;0,75;
April 2022;2 052 003;0,80;
May 2022;1 332 557;0,61;
June 2022;1 127 318;0,54;
July 2022;1 168 760;0,54;
August 2022;1 599 301;0,64;
September 2022;1 832 325;0,68;
October 2022;1 767 935;0,65;
November 2022;1 827 022;0,67;
December 2022;1 674 747;0,62;
January 2023;1 576 059;0,63;
February 2023;1 810 523;0,66;
March 2023;1 604 731;0,64;
April 2023;1 794 399;0,72;
May 2023;1 163 561;0,53;
June 2023;1 026 434;0,48;
July 2023;1 066 770;0,50;
August 2023;1 495 177;0,62;
September 2023;1 804 544;0,67;
October 2023;1 699 863;0,64;
November 2023;1 785 951;0,66;
December 2023;1 628 470;0,62;
January 2024;1 565 787;0,63;
February 2024;1 597 086;0,62;
March 2024;1 546 851;0,65;
April 2024;1 649 871;0,70;
May 2024;1 078 426;0,55;
June 2024;981 345;0,50;
July 2024;948 581;0,48;
August 2024;1 323 130;0,61;
September 2024;1 662 474;0,66;
October 2024;1 675 636;0,64;
November 2024;1 887 518;0,70;
