Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Altai Republic, all devices
December 2017;46 346;0,80;
January 2018;44 301;0,80;
February 2018;47 326;0,79;
March 2018;46 535;0,79;
April 2018;54 109;0,87;
May 2018;35 441;0,66;
June 2018;27 795;0,49;
July 2018;29 610;0,54;
August 2018;44 043;0,75;
September 2018;63 719;0,90;
October 2018;55 982;0,84;
November 2018;55 367;0,82;
December 2018;50 937;0,78;
January 2019;55 025;0,83;
February 2019;59 725;0,88;
March 2019;55 881;0,83;
April 2019;55 768;0,87;
May 2019;37 466;0,66;
June 2019;28 247;0,50;
July 2019;27 840;0,50;
August 2019;44 163;0,75;
September 2019;62 282;0,89;
October 2019;63 401;0,86;
November 2019;69 906;0,86;
December 2019;68 816;0,82;
January 2020;65 158;0,82;
February 2020;70 434;0,80;
March 2020;94 022;0,83;
April 2020;65 417;0,73;
May 2020;60 852;0,72;
June 2020;44 078;0,54;
July 2020;41 804;0,53;
August 2020;66 804;0,76;
September 2020;85 307;0,81;
October 2020;90 414;0,78;
November 2020;94 997;0,88;
December 2020;81 013;0,84;
January 2021;82 318;0,92;
February 2021;87 744;0,90;
March 2021;94 142;0,95;
April 2021;94 600;0,96;
May 2021;69 301;0,71;
June 2021;46 982;0,52;
July 2021;48 426;0,54;
August 2021;79 372;0,81;
September 2021;104 554;0,92;
October 2021;97 733;0,84;
November 2021;118 294;0,97;
December 2021;102 483;0,85;
January 2022;103 479;0,85;
February 2022;117 372;0,91;
March 2022;112 898;0,94;
April 2022;108 529;0,93;
May 2022;71 880;0,64;
June 2022;55 470;0,49;
July 2022;124 678;0,65;
August 2022;85 768;0,66;
September 2022;105 271;0,82;
October 2022;112 219;0,82;
November 2022;110 577;0,81;
December 2022;93 516;0,70;
January 2023;93 385;0,75;
February 2023;106 574;0,78;
March 2023;102 652;0,77;
April 2023;107 542;0,85;
May 2023;68 363;0,60;
June 2023;55 862;0,47;
July 2023;56 587;0,47;
August 2023;83 032;0,70;
September 2023;106 838;0,83;
October 2023;99 686;0,78;
November 2023;106 477;0,80;
December 2023;92 154;0,70;
January 2024;92 655;0,74;
February 2024;95 584;0,77;
March 2024;95 960;0,80;
April 2024;97 764;0,84;
May 2024;63 886;0,62;
June 2024;52 658;0,48;
July 2024;49 954;0,46;
August 2024;74 104;0,69;
September 2024;98 006;0,81;
October 2024;101 957;0,81;
November 2024;112 105;0,84;
