Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Chechen Republic, all devices
December 2017;73 308;0,64;
January 2018;77 248;0,70;
February 2018;72 617;0,61;
March 2018;73 433;0,70;
April 2018;80 951;0,79;
May 2018;41 426;0,42;
June 2018;33 502;0,32;
July 2018;39 853;0,40;
August 2018;82 178;0,75;
September 2018;98 695;0,80;
October 2018;84 556;0,70;
November 2018;102 493;0,79;
December 2018;92 525;0,67;
January 2019;91 649;0,71;
February 2019;92 180;0,69;
March 2019;86 320;0,68;
April 2019;85 500;0,72;
May 2019;46 031;0,42;
June 2019;36 635;0,33;
July 2019;44 212;0,40;
August 2019;87 213;0,74;
September 2019;101 734;0,78;
October 2019;93 393;0,68;
November 2019;119 590;0,76;
December 2019;98 392;0,60;
January 2020;109 990;0,71;
February 2020;102 541;0,55;
March 2020;106 693;0,48;
April 2020;82 587;0,46;
May 2020;105 545;0,66;
June 2020;61 530;0,44;
July 2020;65 229;0,47;
August 2020;112 000;0,74;
September 2020;132 486;0,73;
October 2020;128 066;0,65;
November 2020;133 655;0,77;
December 2020;110 678;0,65;
January 2021;120 054;0,76;
February 2021;117 660;0,72;
March 2021;120 746;0,74;
April 2021;101 029;0,61;
May 2021;84 681;0,51;
June 2021;51 967;0,34;
July 2021;65 883;0,43;
August 2021;129 856;0,75;
September 2021;155 878;0,80;
October 2021;139 852;0,69;
November 2021;178 363;0,81;
December 2021;132 245;0,58;
January 2022;145 575;0,68;
February 2022;150 959;0,64;
March 2022;142 256;0,69;
April 2022;134 515;0,64;
May 2022;82 852;0,44;
June 2022;58 075;0,32;
July 2022;71 570;0,39;
August 2022;130 981;0,66;
September 2022;154 692;0,69;
October 2022;147 821;0,64;
November 2022;164 233;0,66;
December 2022;152 754;0,50;
January 2023;149 075;0,56;
February 2023;148 112;0,59;
March 2023;117 910;0,51;
April 2023;154 318;0,67;
May 2023;70 221;0,38;
June 2023;48 822;0,27;
July 2023;58 462;0,32;
August 2023;110 509;0,55;
September 2023;135 690;0,62;
October 2023;127 626;0,56;
November 2023;149 262;0,61;
December 2023;121 305;0,51;
January 2024;122 956;0,56;
February 2024;111 587;0,53;
March 2024;93 806;0,51;
April 2024;124 841;0,63;
May 2024;60 205;0,35;
June 2024;46 194;0,27;
July 2024;53 118;0,32;
August 2024;105 808;0,59;
September 2024;124 109;0,62;
October 2024;131 057;0,61;
November 2024;159 572;0,66;
