Year,Region,Fitted Values,Lower Bound,Upper Bound
2019,Altai Krai,351.4583,-1512.7357,2215.652
2020,Altai Krai,183.29544,-1680.8983,2047.4895
2021,Altai Krai,224.76624,-1639.4279,2088.96
2022,Altai Krai,343.64127,-1520.5526,2207.8352
2023,Altai Krai,174.24603,-1689.9479,2038.44
2024,Altai Krai,824.2219,-1039.972,2688.4158
2019,Altai Republic,207.71936,-1656.4747,2071.9133
2020,Altai Republic,70.54949,-1793.6444,1934.7434
2021,Altai Republic,50.586052,-1813.608,1914.7799
2022,Altai Republic,169.10217,-1695.0917,2033.2961
2023,Altai Republic,163.37378,-1700.8202,2027.5677
2024,Altai Republic,139.6839,-1724.5101,2003.8778
2019,Amur Oblast,123.32473,-1740.8693,1987.5187
2020,Amur Oblast,126.50402,-1737.6898,1990.698
2021,Amur Oblast,144.21695,-1719.9772,2008.4108
2022,Amur Oblast,385.33276,-1478.8612,2249.5266
2023,Amur Oblast,448.48135,-1415.7125,2312.6753
2024,Amur Oblast,342.43582,-1521.7582,2206.6296
2019,Arkhangel'skaya Oblast',51.74633,-1812.4476,1915.9403
2020,Arkhangel'skaya Oblast',31.994316,-1832.1996,1896.1882
2021,Arkhangel'skaya Oblast',43.42077,-1820.7733,1907.6146
2022,Arkhangel'skaya Oblast',76.92028,-1787.2738,1941.1141
2023,Arkhangel'skaya Oblast',58.952477,-1805.2416,1923.1464
2024,Arkhangel'skaya Oblast',123.69958,-1740.4945,1987.8934
2019,Astrakhan Oblast,68.783714,-1795.4103,1932.9777
2020,Astrakhan Oblast,316.22577,-1547.9681,2180.4197
2021,Astrakhan Oblast,74.710075,-1789.4838,1938.904
2022,Astrakhan Oblast,146.2479,-1717.9462,2010.4418
2023,Astrakhan Oblast,98.899864,-1765.2941,1963.0938
2024,Astrakhan Oblast,81.37142,-1782.8224,1945.5654
2019,Belgorod Oblast,163.04044,-1701.1534,2027.2344
2020,Belgorod Oblast,104.43691,-1759.757,1968.6309
2021,Belgorod Oblast,246.25061,-1617.9432,2110.4446
2022,Belgorod Oblast,328.49484,-1535.6991,2192.6887
2023,Belgorod Oblast,336.4461,-1527.7479,2200.64
2024,Belgorod Oblast,1418.1191,-446.07477,3282.313
2019,Bryansk Oblast,15.256828,-1848.9369,1879.4508
2020,Bryansk Oblast,15.256828,-1848.9369,1879.4508
2021,Bryansk Oblast,69.39907,-1794.7948,1933.593
2022,Bryansk Oblast,110.20037,-1753.9935,1974.3943
2023,Bryansk Oblast,95.181755,-1769.0121,1959.3757
2024,Bryansk Oblast,197.41937,-1666.7745,2061.6133
2019,Chechen Republic,251.36304,-1612.8309,2115.557
2020,Chechen Republic,61.037254,-1803.1566,1925.2312
2021,Chechen Republic,58.310234,-1805.8837,1922.5042
2022,Chechen Republic,96.9237,-1767.2704,1961.1176
2023,Chechen Republic,91.93087,-1772.2631,1956.1248
2024,Chechen Republic,39.507072,-1824.6869,1903.701
2019,Chelyabinsk Oblast,251.59491,-1612.599,2115.7888
2020,Chelyabinsk Oblast,252.91156,-1611.2823,2117.1055
2021,Chelyabinsk Oblast,329.58643,-1534.6075,2193.7803
2022,Chelyabinsk Oblast,1475.8876,-388.30634,3340.0813
2023,Chelyabinsk Oblast,799.1418,-1065.0521,2663.3357
2024,Chelyabinsk Oblast,535.1285,-1329.0654,2399.3223
2019,Chuvash Republic,48.056908,-1816.1371,1912.2507
2020,Chuvash Republic,51.74633,-1812.4476,1915.9403
2021,Chuvash Republic,48.056908,-1816.1371,1912.2507
2022,Chuvash Republic,97.443016,-1766.7509,1961.637
2023,Chuvash Republic,95.181755,-1769.0121,1959.3757
2024,Chuvash Republic,170.9223,-1693.2716,2035.1162
2019,Irkutsk Oblast,540.2472,-1323.9467,2404.4412
2020,Irkutsk Oblast,1308.6094,-555.5846,3172.8032
2021,Irkutsk Oblast,399.24176,-1464.9521,2263.4355
2022,Irkutsk Oblast,2978.0596,1113.8657,4842.2534
2023,Irkutsk Oblast,1175.5587,-688.63525,3039.7524
2024,Irkutsk Oblast,958.3896,-905.8043,2822.5835
2019,Ivanovo Oblast,98.899864,-1765.2941,1963.0938
2020,Ivanovo Oblast,121.86361,-1742.3302,1986.0576
2021,Ivanovo Oblast,71.548515,-1792.6454,1935.7424
2022,Ivanovo Oblast,329.1307,-1535.0634,2193.3245
2023,Ivanovo Oblast,391.71796,-1472.476,2255.9119
2024,Ivanovo Oblast,111.644035,-1752.5499,1975.838
2019,Jewish Autonomous Oblast,83.879906,-1780.3141,1948.0739
2020,Jewish Autonomous Oblast,58.144005,-1806.0499,1922.3379
2021,Jewish Autonomous Oblast,31.994316,-1832.1996,1896.1882
2022,Jewish Autonomous Oblast,64.794365,-1799.3995,1928.9883
2023,Jewish Autonomous Oblast,31.994316,-1832.1996,1896.1882
2024,Jewish Autonomous Oblast,45.81997,-1818.3739,1910.0139
2019,Kaliningrad Oblast,224.99396,-1639.2001,2089.1877
2020,Kaliningrad Oblast,149.59958,-1714.5944,2013.7936
2021,Kaliningrad Oblast,225.20517,-1638.9889,2089.399
2022,Kaliningrad Oblast,550.4456,-1313.7483,2414.6396
2023,Kaliningrad Oblast,414.38788,-1449.806,2278.5818
2024,Kaliningrad Oblast,603.1353,-1261.0586,2467.3293
2019,Kaluga Oblast,1007.21533,-856.9785,2871.4092
2020,Kaluga Oblast,1007.21533,-856.9785,2871.4092
2021,Kaluga Oblast,141.50412,-1722.6898,2005.6981
2022,Kaluga Oblast,671.48834,-1192.7056,2535.6821
2023,Kaluga Oblast,3034.331,1170.1372,4898.525
2024,Kaluga Oblast,842.50867,-1021.6853,2706.7024
2019,Kamchatka Krai,319.84637,-1544.3475,2184.0403
2020,Kamchatka Krai,267.89673,-1596.2972,2132.0906
2021,Kamchatka Krai,701.5404,-1162.6534,2565.7344
2022,Kamchatka Krai,3496.0498,1631.8558,5360.2437
2023,Kamchatka Krai,1509.9675,-354.22638,3374.1614
2024,Kamchatka Krai,2109.4058,245.21198,3973.5999
2019,Karachay-Cherkess Republic,54.441185,-1809.7528,1918.6351
2020,Karachay-Cherkess Republic,74.710075,-1789.4838,1938.904
2021,Karachay-Cherkess Republic,52.537315,-1811.6566,1916.7312
2022,Karachay-Cherkess Republic,65.57195,-1798.622,1929.7659
2023,Karachay-Cherkess Republic,133.47018,-1730.7238,1997.6642
2024,Karachay-Cherkess Republic,93.15722,-1771.0367,1957.3511
2019,Kemerovo Oblast,364.22406,-1499.9698,2228.418
2020,Kemerovo Oblast,226.00443,-1638.1896,2090.1982
2021,Kemerovo Oblast,198.17667,-1666.0175,2062.3704
2022,Kemerovo Oblast,764.72394,-1099.47,2628.9177
2023,Kemerovo Oblast,335.88257,-1528.3114,2200.0764
2024,Kemerovo Oblast,548.0464,-1316.1476,2412.2402
2019,Khabarovsk Krai,495.18512,-1369.0089,2359.379
2020,Khabarovsk Krai,712.8073,-1151.3866,2577.0012
2021,Khabarovsk Krai,276.16217,-1588.0319,2140.356
2022,Khabarovsk Krai,2289.9233,425.72937,4154.117
2023,Khabarovsk Krai,2005.7479,141.55399,3869.9417
2024,Khabarovsk Krai,1110.7017,-753.4923,2974.8953
2019,Khanty-Mansi Autonomous Okrug — Yugra,2125.9563,261.76233,3990.1501
2020,Khanty-Mansi Autonomous Okrug — Yugra,1014.83765,-849.3562,2879.0315
2021,Khanty-Mansi Autonomous Okrug — Yugra,566.4671,-1297.7269,2430.661
2022,Khanty-Mansi Autonomous Okrug — Yugra,1640.5042,-223.68976,3504.698
2023,Khanty-Mansi Autonomous Okrug — Yugra,817.6928,-1046.5012,2681.8865
2024,Khanty-Mansi Autonomous Okrug — Yugra,694.8111,-1169.3828,2559.0051
2019,Kirov Oblast,63.172783,-1801.0211,1927.3667
2020,Kirov Oblast,46.435326,-1817.7587,1910.6293
2021,Kirov Oblast,46.435326,-1817.7587,1910.6293
2022,Kirov Oblast,133.20459,-1730.9894,1997.3984
2023,Kirov Oblast,95.181755,-1769.0121,1959.3757
2024,Kirov Oblast,560.6443,-1303.5497,2424.8381
2019,Komi Republic,149.55359,-1714.6403,2013.7476
2020,Komi Republic,51.74633,-1812.4476,1915.9403
2021,Komi Republic,46.435326,-1817.7587,1910.6293
2022,Komi Republic,126.92037,-1737.2736,1991.1143
2023,Komi Republic,149.32571,-1714.868,2013.5198
2024,Komi Republic,171.50812,-1692.6859,2035.702
2019,Kostroma Oblast,106.06417,-1758.1298,1970.258
2020,Kostroma Oblast,31.994316,-1832.1996,1896.1882
2021,Kostroma Oblast,26.68328,-1837.5106,1890.8772
2022,Kostroma Oblast,99.96218,-1764.2318,1964.1561
2023,Kostroma Oblast,111.644035,-1752.5499,1975.838
2024,Kostroma Oblast,165.81693,-1698.3771,2030.011
2019,Krasnodar Krai,296.72998,-1567.464,2160.9238
2020,Krasnodar Krai,413.06766,-1451.1263,2277.2615
2021,Krasnodar Krai,365.08444,-1499.1095,2229.2783
2022,Krasnodar Krai,554.5085,-1309.6854,2418.7024
2023,Krasnodar Krai,408.29755,-1455.8964,2272.4915
2024,Krasnodar Krai,548.4975,-1315.6965,2412.6914
2019,Krasnoyarsk Krai,1971.8615,107.667534,3836.0554
2020,Krasnoyarsk Krai,393.44666,-1470.7473,2257.6406
2021,Krasnoyarsk Krai,1409.9581,-454.23578,3274.152
2022,Krasnoyarsk Krai,5789.0806,3924.8865,7653.2744
2023,Krasnoyarsk Krai,3528.522,1664.328,5392.716
2024,Krasnoyarsk Krai,1788.5648,-75.62916,3652.7585
2019,Kurgan Oblast,77.25872,-1786.9352,1941.4528
2020,Kurgan Oblast,94.81051,-1769.3834,1959.0045
2021,Kurgan Oblast,43.42077,-1820.7733,1907.6146
2022,Kurgan Oblast,119.85876,-1744.3351,1984.0527
2023,Kurgan Oblast,108.432304,-1755.7616,1972.6262
2024,Kurgan Oblast,191.50943,-1672.6844,2055.7034
2019,Kursk Oblast,89.255394,-1774.9386,1953.4493
2020,Kursk Oblast,59.630302,-1804.5636,1923.8242
2021,Kursk Oblast,46.435326,-1817.7587,1910.6293
2022,Kursk Oblast,154.33911,-1709.8549,2018.5331
2023,Kursk Oblast,122.25793,-1741.9359,1986.4519
2024,Kursk Oblast,335.49106,-1528.703,2199.6848
2019,Leningrad Oblast,966.4864,-897.70764,2830.6802
2020,Leningrad Oblast,1345.6603,-518.53357,3209.8542
2021,Leningrad Oblast,391.1595,-1473.0345,2255.3533
2022,Leningrad Oblast,698.2413,-1165.9526,2562.4353
2023,Leningrad Oblast,446.66476,-1417.529,2310.8586
2024,Leningrad Oblast,1080.8953,-783.2987,2945.089
2019,Lipetsk Oblast,506.51553,-1357.6785,2370.7095
2020,Lipetsk Oblast,662.63086,-1201.563,2526.8247
2021,Lipetsk Oblast,151.13998,-1713.0538,2015.334
2022,Lipetsk Oblast,347.51602,-1516.6779,2211.71
2023,Lipetsk Oblast,190.64276,-1673.5511,2054.8367
