"","Estimate","Std. Error","t value","Pr(>|t|)"
"Month01",15.6682843090057,2.23185733949843,7.02028934901677,7.15459325274239e-11
"Month02",15.75844115813,2.2463187614362,7.01522928475864,7.35223324082242e-11
"Month03",15.9493607072321,2.25579127274556,7.07040624721447,5.45956418007943e-11
"Month04",15.9829175312124,2.24933295703047,7.10562546165367,4.51237757650462e-11
"Month05",16.1419941461689,2.25635726362378,7.15400632976196,3.47072147114951e-11
"Month06",16.1932271002148,2.25530201905156,7.18007032469409,3.01208077971751e-11
"Month07",16.2038309958992,2.25837469789397,7.1749966960797,3.09639635637276e-11
"Month08",16.1856544126659,2.25214029863164,7.1867877958136,2.90392948064208e-11
"Month09",16.1892785779767,2.25019346125111,7.19461631044625,2.78272606784549e-11
"Month10",16.2017195393029,2.25182639424352,7.1949238985387,2.77806740172238e-11
"Month11",16.0521007598853,2.2498679188207,7.13468583004608,3.85461923360043e-11
"Month12",16.0282561775831,2.25237641280297,7.11615344863107,4.26217845979884e-11
"time_trend",0.0135660667688619,0.0021563217501231,6.2912998804967,3.27659403019651e-09
"`log_Consumer_Price_Index_(CPI)_RUS`",-1.89750147322836,0.386124296246531,-4.91422449111271,2.30991621896202e-06
"covid",-0.204213282363765,0.0949053741934825,-2.1517567798367,0.0330169470539413
