"","Estimate","Std. Error","t value","Pr(>|t|)"
"Month01",5.4551948086324,1.62600401227242,3.35497007846155,0.00116811022489064
"Month02",5.46778306451294,1.58529941576069,3.44905385705279,0.00086165879882402
"Month03",5.4608056121571,1.5567183329121,3.50789574241203,0.000710388260458431
"Month04",5.49722034665383,1.51964749996242,3.61743124427855,0.000493207378194008
"Month05",5.72459114939976,1.5865873672388,3.60811592705574,0.000508892544687644
"Month06",5.61437985781846,1.52902910513051,3.67185937728715,0.000410342486607175
"Month07",5.78882491446657,1.5875171244945,3.64646454841225,0.000447209786349158
"Month08",5.80860089956755,1.57756601329768,3.68200179935766,0.000396440462714414
"Month09",5.74693204847801,1.55337929900454,3.69963218394944,0.000373333576075781
"Month10",5.73691878590349,1.55312075796908,3.6938008564159,0.000380830786684252
"Month11",5.59454335319635,1.55129144637765,3.60637800605419,0.000511870718318699
"Month12",5.26765983406396,1.56081293320354,3.37494630010028,0.00109552761197434
"`log_Consumer_Price_Index_(CPI)_KGZ`",-1.11514530134517,0.486115352138702,-2.29399317762544,0.0241448808361484
"log_avg_nominal_gross_wages_RUSmoscowoblast",2.62196125387232,0.93502498332318,2.8041617075873,0.00619312734320561
"log_KGZ_BRE_RUBLE",-1.39235663717985,0.272994828582504,-5.10030407685561,1.89826079724626e-06
"log_avg_nominal_gross_wages_RUSsakhalin",-1.40545925983206,0.742161146558835,-1.89373866625695,0.0615081336148936
